,Insitution
2808,The Beauty Institute-Ambler
2809,American College of Financial Services
2810,Automotive Training Center-Exton
2811,Clarks Summit University
2812,Community College of Beaver County
2813,Arcadia University
2814,Missio Theological Seminary
2815,Bloomsburg University of Pennsylvania
2816,Bryn Mawr College
2817,Bucknell University
2818,Bucks County Community College
2819,Bucks County School of Beauty Culture Inc
2820,Butler Beauty Academy
2821,Butler County Community College
2822,Cabrini University
2823,California University of Pennsylvania
2824,Carlow University
2825,Carnegie Mellon University
2826,Cedar Crest College
2827,Central Penn College
2828,Chatham University
2829,Chestnut Hill College
2830,Cheyney University of Pennsylvania
2831,Citizens School of Nursing
2832,Clarion University of Pennsylvania
2833,DLP Conemaugh Memorial Medical Center
2834,Curtis Institute of Music
2835,Delaware County Community College
2836,Delaware Valley University
2837,Dickinson College
2838,Pennsylvania State University-Dickinson Law
2839,Douglas Education Center
2840,Drexel University
2841,Duquesne University
2842,East Stroudsburg University of Pennsylvania
2843,Eastern University
2844,Edinboro University of Pennsylvania
2845,Elizabethtown College
2846,Empire Beauty School-Lebanon
2847,Empire Beauty School-York
2848,Empire Beauty School-Lancaster
2849,Empire Beauty School-Shamokin Dam
2850,Empire Beauty School-Pottsville
2851,Empire Beauty  School-Lehigh Valley
2852,Empire Beauty School-Gwinnett
2853,Empire Beauty School-Wyoming Valley
2854,Empire Beauty School-Harrisburg
2855,Empire Beauty School-Reading
2856,Erie Institute of Technology Inc
2857,Evangelical Theological Seminary
2858,Faith Theological Seminary
2859,Franklin and Marshall College
2860,Gannon University
2861,Geneva College
2862,Gettysburg College
2863,Empire Beauty School-NE Philadelphia
2864,Gratz College
2865,Grove City College
2866,Gwynedd Mercy University
2867,Harcum College
2868,Harrisburg Area Community College
2869,Haverford College
2870,Commonwealth Technical Institute
2871,Holy Family University
2872,Hussian College-Philadelphia
2873,Immaculata University
2874,Indiana University of Pennsylvania-Main Campus
2875,UPMC Jameson School of Nursing
2876,Great Lakes Institute of Technology
2877,Jolie Hair and Beauty Academy-Wilkes-Barre
2878,Johnson College
2879,Juniata College
2880,Keystone College
2881,King's College
2882,Butler Beauty Academy-Kittanning Beauty Academy
2883,Kutztown University of Pennsylvania
2884,La Roche University
2885,La Salle University
2886,Lackawanna College
2887,Lafayette College
2888,Lancaster Bible College
2889,Lancaster Theological Seminary
2890,Lancaster School of Cosmetology & Therapeutic Bodywork
2891,Lansdale School of Business
2892,Lansdale School of Cosmetology Inc
2893,Lebanon Valley College
2894,Lehigh Carbon Community College
2895,Platt College-Berks Technical Institute
2896,Lehigh University
2897,Levittown Beauty Academy
2898,Lincoln Technical Institute-Allentown
2899,Lincoln Technical Institute-Philadelphia
2900,Lock Haven University
2901,UPMC St. Margaret School of Nursing
2902,United Lutheran Seminary
2903,Luzerne County Community College
2904,Lycoming College
2905,Manor College
2906,Mansfield University of Pennsylvania
2907,Marywood University
2908,Vet Tech Institute
2909,Roxborough Memorial Hospital School of Nursing
2910,Mercyhurst University
2911,Messiah University
2912,ASPIRA City College
2913,Millersville University of Pennsylvania
2914,Misericordia University
2915,Montgomery County Community College
2916,Moore College of Art and Design
2917,Moravian College
2918,Mount Aloysius College
2919,Muhlenberg College
2920,Neumann University
2921,New Castle School of Trades
2922,Northampton County Area Community College
2923,Heritage Valley Kennedy School of Nursing
2924,Orleans Technical College
2925,Salus University
2926,Pennsylvania Institute of Technology
2927,Pennsylvania State University-Penn State Erie-Behrend College
2928,Pennsylvania State University-Penn State Great Valley
2929,Pennsylvania State University-College of Medicine
2930,Pennsylvania State University-Penn State New Kensington
2931,Pennsylvania State University-Penn State Shenango
2932,Pennsylvania State University-Penn State Wilkes-Barre
2933,Pennsylvania State University-Penn State Scranton
2934,Pennsylvania State System of Higher Education-Central Office
2935,Pennsylvania State University-Penn State Lehigh Valley
2936,Pennsylvania State University-Penn State Altoona
2937,Pennsylvania State University-Penn State Beaver
2938,Pennsylvania State University-Penn State Berks
2939,Pennsylvania State University-Penn State Harrisburg
2940,Pennsylvania State University-Penn State Brandywine
2941,Pennsylvania State University-Penn State DuBois
2942,Pennsylvania State University-Penn State Fayette- Eberly
2943,Pennsylvania State University-Penn State Hazleton
2944,Pennsylvania State University-Main Campus
2945,Pennsylvania State University-Penn State Greater Allegheny
2946,Pennsylvania State University-Penn State Mont Alto
2947,Pennsylvania State University-Penn State Abington
2948,Pennsylvania State University-Penn State Schuylkill
2949,Pennsylvania State University-Penn State York
2950,Peirce College
2951,Penn Commercial Business/Technical School
2952,Pennco Tech-Bristol
2953,Pennsylvania Academy of the Fine Arts
2954,Pennsylvania Gunsmith School
2955,Cortiva Institute-King of Prussia
2956,Pennsylvania College of Art and Design
2957,University of Pennsylvania
2958,The University of the Arts
2959,Cairn University-Langhorne
2960,Philadelphia College of Osteopathic Medicine
2961,University of the Sciences
2962,Community College of Philadelphia
2963,University of Pittsburgh-Bradford
2964,University of Pittsburgh-Greensburg
2965,University of Pittsburgh-Johnstown
2966,University of Pittsburgh-Pittsburgh Campus
2967,University of Pittsburgh-Titusville
2968,Beaver Falls Beauty Academy
2969,Pittsburgh Institute of Aeronautics
2970,Pittsburgh Institute of Mortuary Science Inc
2971,Pittsburgh Technical College
2972,Pittsburgh Theological Seminary
2973,Point Park University
2974,Joseph F McCloskey School of Nursing
2975,The Salon Professional Academy-Altoona
2976,Reading Area Community College
2977,Reading Hospital School of Health Sciences
2978,Reconstructionist Rabbinical College
2979,Reformed Presbyterian Theological Seminary
2980,Walnut Hill College
2981,Robert Morris University
2982,Rosedale Technical College
2983,Rosemont College
2984,Saint Francis University
2985,Saint Joseph's University
2986,Saint Vincent College
2987,Saint Vincent Seminary
2988,Schuylkill Technology Center
2989,University of Scranton
2990,Seton Hill University
2991,UPMC Shadyside School of Nursing
2992,Sharon Regional School of Nursing
2993,Laurel Technical Institute
2994,Shippensburg University of Pennsylvania
2995,Slippery Rock University of Pennsylvania
2996,Saint Charles Borromeo Seminary-Overbrook
2997,South Hills Beauty Academy
2998,South Hills School of Business & Technology
2999,St Lukes Hospital School of Nursing
3000,The Beauty Institute
3001,Susquehanna University
3002,Swarthmore College
3003,Thaddeus Stevens College of Technology
3004,Talmudical Yeshiva of Philadelphia
3005,Temple University
3006,Theological Seminary of the Reformed Episcopal Church
3007,Thiel College
3008,Thomas Jefferson University
3009,Fortis Institute-Erie
3010,Triangle Tech Inc-Pittsburgh
3011,Triangle Tech Inc-Greensburg
3012,Triangle Tech Inc-Dubois
3013,Trinity Episcopal School for Ministry
3014,Ursinus College
3015,University of Valley Forge
3016,Valley Forge Military College
3017,Venus Beauty Academy
3018,Villanova University
3019,Washington Hospital School of Nursing
3020,Washington & Jefferson College
3021,Waynesburg University
3022,Welder Training and Testing Institute
3023,West Chester University of Pennsylvania
3024,Western Pennsylvania Hospital School of Nursing
3025,Pittsburgh Career Institute
3026,Westminster Theological Seminary
3027,Westmoreland County Community College
3028,Widener University
3029,Wilkes University
3030,Williamson College of the Trades
3031,Wilson College
3032,Yeshivath Beth Moshe
3033,York College of Pennsylvania
3034,YTI Career Institute-York
3035,Brown University
3036,Bryant University
3037,Johnson & Wales University-Providence
3038,New England Institute of Technology
3039,New England Tractor Trailer Training School of Rhode Island
3040,Providence College
3041,Rhode Island College
3042,Community College of Rhode Island
3043,University of Rhode Island
3044,Rhode Island School of Design
3045,Roger Williams University
3046,Salve Regina University
3047,Empire Beauty School-Warwick
3048,Northpoint Bible College
3049,Aiken Technical College
3050,Allen University
3051,Charleston Southern University
3052,Technical College of the Lowcountry
3053,Benedict College
3054,Bob Jones University
3055,Southern Wesleyan University
3056,Charleston Cosmetology Institute
3057,College of Charleston
3058,Charzanne Beauty College
3059,Northeastern Technical College
3060,Citadel Military College of South Carolina
3061,Claflin University
3062,Clemson University
3063,Clinton College
3064,Coker University
3065,Columbia International University
3066,Converse College
3067,Denmark Technical College
3068,Erskine College
3069,Florence-Darlington Technical College
3070,Forrest College
3071,Francis Marion University
3072,Furman University
3073,Greenville Technical College
3074,Horry-Georgetown Technical College
3075,Kenneth Shuler School of Cosmetology-North Augusta
3076,Kenneth Shuler School of Cosmetology and Nails-Columbia
